Ordem,EOL,TIPO DE U.E,NOME,DRE,SIGLA/LOTE,E-MAIL,ENDEREÇO,Nº,BAIRRO,endereco_completo,CEP,TELEFONE,TELEFONE2,EMPRESA,COD. CODAE,TIPO_UE2
153,93335,EMEF,JOAO DE DEUS CARDOSO DE MELLO,CAPELA DO SOCORRO,CS,emefjdcmello@prefeitura.sp.gov.br,RUA MANOEL VITORINO PEREIRA,220,JORDANÓPOLIS,"RUA MANOEL VITORINO PEREIRA, 220 - JORDANÓPOLIS",4830020,59280884,59289188,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,6926,EMEF
154,93343,EMEF,OLEGARIO MARIANO,CAPELA DO SOCORRO,CS,EMEFOMARIANO@PREFEITURA.SP.GOV.BR,RUA ANTONIO BORGES DA FONSECA,15,JARDIM FLORESTA,"RUA ANTONIO BORGES DA FONSECA, 15 - JARDIM FLORESTA",4836120,59394901,59717216,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,6927,EMEF
155,93351,EMEF,"MILTON FERREIRA DE ALBUQUERQUE, PROF.",CAPELA DO SOCORRO,CS,emefmfalbuquerque@prefeitura.sp.gov.br,RUA GEORGINA BOCCHIGLIERI,55,JARDIM BEATRIZ,"RUA GEORGINA BOCCHIGLIERI, 55 - JARDIM BEATRIZ",4835250,59716565,5972-0031,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,6929,EMEF
156,93360,EMEF,"ELIZA RACHEL MACEDO DE SOUZA, PROFA.",CAPELA DO SOCORRO,CS,emefermsouza@prefeitura.sp.gov.br,RUA CONSTELACAO DO ERIDANO,24,JARDIM CAMPINAS,"RUA CONSTELACAO DO ERIDANO, 24 - JARDIM CAMPINAS",4858580,55267593,55262053,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,6936,EMEF
157,93378,EMEF,"MANOEL DE ABREU, DR.",CAPELA DO SOCORRO,CS,emefmabreu@prefeitura.sp.gov.br,RUA GENERAL RENATO VARANDAS DE AZEVEDO,377,JARDIM TRES CORACOES,"RUA GENERAL RENATO VARANDAS DE AZEVEDO, 377 - JARDIM TRES CORACOES",4855280,55284975,55285303,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,6930,EMEF
158,93386,EMEF,JOAQUIM BENTO ALVES DE LIMA NETO,CAPELA DO SOCORRO,CS,emefjbalneto@prefeitura.sp.gov.br,RUA SÃO JOSÉ DO RIO PRETO,17,CONJUNTO HABITACIONAL BRIGADEIRO FARIA L,"RUA SÃO JOSÉ DO RIO PRETO, 17 - CONJUNTO HABITACIONAL BRIGADEIRO FARIA L",4840460,55281919,55283189,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,6931,EMEF
159,93394,EMEF,"TEODOMIRO TOLEDO PIZA, DES.",CAPELA DO SOCORRO,CS,EMEFTTPIZA@PREFEITURA.SP.GOV.BR,RUA PELAGIA STARBULOV,324,PARQUE GRAJAU,"RUA PELAGIA STARBULOV, 324 - PARQUE GRAJAU",4843590,59714682,,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,6932,EMEF
160,93408,EMEF,PAULO SETUBAL,CAPELA DO SOCORRO,CS,emefpsetubal@prefeitura.sp.gov.br,RUA FRANCISCO DE CALDAS,50,JARDIM ANA LÚCIA,"RUA FRANCISCO DE CALDAS, 50 - JARDIM ANA LÚCIA",4812070,56616313,56613114,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,6933,EMEF
161,93416,EMEF,"JOSE AMADEI, ENG.",CAPELA DO SOCORRO,CS,emefjamadei@prefeitura.sp.gov.br,RUA RAIMUNDO LOPES,115,JARDIM SATELITE,"RUA RAIMUNDO LOPES, 115 - JARDIM SATELITE",4816090,56674953,56674466,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,6935,EMEF
162,93424,EMEF,"MIGUEL VIEIRA FERREIRA, DR.",CAPELA DO SOCORRO,CS,emefmvferreira@prefeitura.sp.gov.br,PRACA ESCOLAR,S/N,CIDADE DUTRA,"PRACA ESCOLAR, S/N - CIDADE DUTRA",4810140,56690999,56665154,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,6934,EMEF
163,93432,EMEF,"CORREIA DE MELLO, BRIG.",ITAQUERA,IQ,emefcmello@prefeitura.sp.gov.br,RUA GALEANDRA,S/N,JARDIM FERNANDES,"RUA GALEANDRA, S/N - JARDIM FERNANDES",3577040,27411290,27418263,Apetece Sistemas de Alimentação Ltda,6993,EMEF
164,93441,EMEF,CARLOS CHAGAS,ITAQUERA,IQ,EMEFCCHAGAS@PREFEITURA.SP.GOV.BR,AVENIDA OSVALDO VALLE CORDEIRO,337,JARDIM BRASILIA,"AVENIDA OSVALDO VALLE CORDEIRO, 337 - JARDIM BRASILIA",3584000,27411742,,Apetece Sistemas de Alimentação Ltda,6992,EMEF
165,93459,EMEF,EDUARDO PRADO,ITAQUERA,IQ,emefeprado@prefeitura.sp.gov.br,RUA BENTO TEIXEIRA,100,JARDIM BRASILIA,"RUA BENTO TEIXEIRA, 100 - JARDIM BRASILIA",3583170,27411212,27472718,Apetece Sistemas de Alimentação Ltda,6994,EMEF
166,93467,EMEF,DANYLO JOSE FERNANDES,ITAQUERA,IQ,emefdjfernandes@prefeitura.sp.gov.br,AVENIDA FRANCISCO MUNHOZ FILHO,431,CIDADE LÍDER,"AVENIDA FRANCISCO MUNHOZ FILHO, 431 - CIDADE LÍDER",8280000,27486358,,Apetece Sistemas de Alimentação Ltda,6978,EMEF
167,93475,EMEF,AYRES MARTINS TORRES,ITAQUERA,IQ,emefayresmtorres@prefeitura.sp.gov.br,RUA CATARINA LOPES,428,ITAQUERA,"RUA CATARINA LOPES, 428 - ITAQUERA",8225000,22056385,,Apetece Sistemas de Alimentação Ltda,6979,EMEF
168,93483,EMEF,"HAROLDO VELOSO, BRIG.",ITAQUERA,IQ,emefhveloso@prefeitura.sp.gov.br,RUA MARCELINO DA SILVA,50,ITAQUERA,"RUA MARCELINO DA SILVA, 50 - ITAQUERA",8210530,20790288,22056219,Apetece Sistemas de Alimentação Ltda,6980,EMEF
169,93491,EMEF,ARTUR NEIVA,ITAQUERA,IQ,emefaneiva@prefeitura.sp.gov.br,AVENIDA NOSSA SENHORA DE GUADALUPE,212,JARDIM HELENA,"AVENIDA NOSSA SENHORA DE GUADALUPE, 212 - JARDIM HELENA",8420130,25579095,25544530,Apetece Sistemas de Alimentação Ltda,6967,EMEF
170,93505,EMEF,BENEDITO CALIXTO,ITAQUERA,IQ,EMEFBCALIXTO@PREFEITURA.SP.GOV.BR,RUA LUÍS MEDEIROS DA SILVA,195,JARDIM SÃO PEDRO,"RUA LUÍS MEDEIROS DA SILVA, 195 - JARDIM SÃO PEDRO",8420650,25544548,25578194,Apetece Sistemas de Alimentação Ltda,6981,EMEF
171,93513,EMEF,"JOAO DE LIMA PAIVA, PROF.",GUAIANASES,G,emefjlpaiva@prefeitura.sp.gov.br,RUA GETULINA,278,GUAIANASES,"RUA GETULINA, 278 - GUAIANASES",8450020,25578176,25544545,Apetece Sistemas de Alimentação Ltda,6968,EMEF
172,93521,EMEF,VINTE E CINCO DE JANEIRO,GUAIANASES,G,emef25janeiro@prefeitura.sp.gov.br,RUA CARANAÍBA,58,GUAIANAZES,"RUA CARANAÍBA, 58 - GUAIANAZES",8412010,25578121,25578121,Apetece Sistemas de Alimentação Ltda,6969,EMEF
173,93530,EMEF,"JOANA ANGELICA DE JESUS, MADRE",GUAIANASES,G,emefmadrejoana@prefeitura.sp.gov.br,RUA TORRE DE SANTIAGO,425,GUAIANASES,"RUA TORRE DE SANTIAGO, 425 - GUAIANASES",8460180,25578088,25575726,Apetece Sistemas de Alimentação Ltda,6970,EMEF
174,93548,EMEF,SATURNINO PEREIRA,GUAIANASES,G,EMEFSATURNINO@PREFEITURA.SP.GOV.BR,ESTRADA IGUATEMI,4977,JARDIM PEDRA BRANCA,"ESTRADA IGUATEMI, 4977 - JARDIM PEDRA BRANCA",8490500,25559379,25558181,Apetece Sistemas de Alimentação Ltda,6971,EMEF
175,93556,EMEF,"FELICIO PAGLIUSO, PROF.",SÃO MATEUS,SM I,emeffpagliuso@prefeitura.sp.gov.br,RUA ABNER RIBEIRO BORGES,224,JARDIM ROSELI,"RUA ABNER RIBEIRO BORGES, 224 - JARDIM ROSELI",8380045,27312791,,SHA Comércio de Alimentos Ltda,11346,EMEF
176,93564,EMEF,JOAQUIM OSORIO DUQUE ESTRADA,SÃO MATEUS,SM I,emefjodestrada@prefeitura.sp.gov.br,RUA PRIMO BAUDINI,441,JARDIM AUGUSTO,"RUA PRIMO BAUDINI, 441 - JARDIM AUGUSTO",8371120,27312404,,SHA Comércio de Alimentos Ltda,11339,EMEF
177,93572,EMEF,COELHO NETO,SÃO MATEUS,SM I,EMEFCNETO@PREFEITURA.SP.GOV.BR,RUA DIOGO GARCIA,128,PARQUE BOA ESPERANCA,"RUA DIOGO GARCIA, 128 - PARQUE BOA ESPERANCA",8370030,27312970,27319011,SHA Comércio de Alimentos Ltda,11461,EMEF
178,93581,EMEF,PLINIO DE QUEIROZ,SÃO MATEUS,SM I,emefpqueiroz@prefeitura.sp.gov.br,RUA MANUEL HENRIQUES DE PAIVA,S/N,PARQUE BOA ESPERANCA,"RUA MANUEL HENRIQUES DE PAIVA, S/N - PARQUE BOA ESPERANCA",8410080,27311596,,SHA Comércio de Alimentos Ltda,11342,EMEF
179,93599,EMEF,JOSE MARIA WHITAKER,SÃO MATEUS,SM I,emefjmwhitaker@prefeitura.sp.gov.br,AVENIDA SATELITE,688,CIDADE SATELITE SANTA BARBARA,"AVENIDA SATELITE, 688 - CIDADE SATELITE SANTA BARBARA",8330480,29192397,,SHA Comércio de Alimentos Ltda,11447,EMEF
180,93602,EMEF,RODRIGO MELLO FRANCO DE ANDRADE,SÃO MATEUS,SM II,emefrmfandrade@prefeitura.sp.gov.br,AVENIDA JOSÉ VELHO BARRETO,371,PARQUE COLONIAL,"AVENIDA JOSÉ VELHO BARRETO, 371 - PARQUE COLONIAL",3968080,29190409,,Comercial Milano Brasil LTDA,11349,EMEF
181,93611,EMEF,"RIVADAVIA MARQUES JUNIOR, PROFA.",SÃO MATEUS,SM II,EMEFRIVADAVIA@PREFEITURA.SP.GOV.BR,RUA DOUTOR PAULO QUEIROZ,955,JARDIM NOVE DE JULHO,"RUA DOUTOR PAULO QUEIROZ, 955 - JARDIM NOVE DE JULHO",3951090,20108899,29193114,Comercial Milano Brasil LTDA,11347,EMEF
182,93629,EMEF,"AURELIO ARROBAS MARTINS, PROF.",ITAQUERA,IQ,emefaamartins@prefeitura.sp.gov.br,AVENIDA AFONSO DE SAMPAIO E SOUSA,2051,ITAQUERA,"AVENIDA AFONSO DE SAMPAIO E SOUSA, 2051 - ITAQUERA",8270001,27484643,27480271,Apetece Sistemas de Alimentação Ltda,6982,EMEF
183,93637,EMEFM,OSWALDO ARANHA BANDEIRA DE MELLO,GUAIANASES,G,emefoabmello@prefeitura.sp.gov.br,AVENIDA DOS METALURGICOS,1155,CIDADE TIRADENTES,"AVENIDA DOS METALURGICOS, 1155 - CIDADE TIRADENTES",8471000,29649382,22822125,Apetece Sistemas de Alimentação Ltda,6977,EMEF
184,93645,EMEF,MAURICIO GOULART,GUAIANASES,G,EMEFMGOULART@PREFEITURA.SP.GOV.BR,RUA RENE DE TOLEDO,700,CIDADE TIRADENTES,"RUA RENE DE TOLEDO, 700 - CIDADE TIRADENTES",8471740,22820040,,Apetece Sistemas de Alimentação Ltda,6998,EMEF
185,93653,EMEF,VLADIMIR HERZOG,GUAIANASES,G,emefvladimirherzog@prefeitura.sp.gov.br,RUA FRANCISCO JOSE VIANA,894,CIDADE TIRADENTES,"RUA FRANCISCO JOSE VIANA, 894 - CIDADE TIRADENTES",8471530,29645686,22821355,Apetece Sistemas de Alimentação Ltda,6997,EMEF
186,93661,EMEF,OCTAVIO MANGABEIRA,PENHA,PE I,emefomangabeira@prefeitura.sp.gov.br,RUA PAULO BIFANO ALVES,658,PARQUE BOTURUSSU,"RUA PAULO BIFANO ALVES, 658 - PARQUE BOTURUSSU",3801000,25464145,,Apetece Sistemas de Alimentação Ltda,7007,EMEF
187,93670,EMEF,AMADEU AMARAL,PENHA,PE I,emefaamaral@prefeitura.sp.gov.br,PRACA DOUTOR TOLOZA DE OLIVEIRA,37,JARDIM TRES MARIAS,"PRACA DOUTOR TOLOZA DE OLIVEIRA, 37 - JARDIM TRES MARIAS",3676090,20429134,22802017,Apetece Sistemas de Alimentação Ltda,7031,EMEF
188,93688,EMEF,"PEDRO ALEIXO, DR.",SÃO MIGUEL,MP I,emefpaleixo@prefeitura.sp.gov.br,RUA PAU D ARCOROXO,340,JARDIM PEDRO JOSE NUNES,"RUA PAU D ARCOROXO, 340 - JARDIM PEDRO JOSE NUNES",8061030,20370421,22972722,Singular Gestão de Serviços Ltda,7008,EMEF
189,93696,EMEF,"EPITACIO PESSOA, PRES.",SÃO MIGUEL,MP I,emefepessoa@prefeitura.sp.gov.br,RUA LÍBERO ANCONA LOPES,169,PARQUE CRUZEIRO DO SUL,"RUA LÍBERO ANCONA LOPES, 169 - PARQUE CRUZEIRO DO SUL",8070280,22970192,20370226,Singular Gestão de Serviços Ltda,7010,EMEF
190,93700,EMEF,RAUL PILLA,SÃO MIGUEL,MP I,emefrpilla@prefeitura.sp.gov.br,RUA PADRE ORLANDO NOGUEIRA,139,LIMOEIRO,"RUA PADRE ORLANDO NOGUEIRA, 139 - LIMOEIRO",8051560,20492370,22800020,Singular Gestão de Serviços Ltda,7009,EMEF
191,93718,EMEF,"ANTONIO DUARTE DE ALMEIDA, PROF.",ITAQUERA,IQ,emefadalmeida@prefeitura.sp.gov.br,RUA TREVO DE SANTA MARIA,1,PARQUE GUARANI,"RUA TREVO DE SANTA MARIA, 1 - PARQUE GUARANI",8235560,20534430,20525777,Apetece Sistemas de Alimentação Ltda,6983,EMEF
192,93726,EMEF,PEDRO TEIXEIRA,SÃO MIGUEL,MP I,emefpt@terra.com.br,RUA DOM FRANCISCO DE CAMPOS BARRETO,51,JARDIM SANTANA,"RUA DOM FRANCISCO DE CAMPOS BARRETO, 51 - JARDIM SANTANA",8050120,20536688,20540273,Singular Gestão de Serviços Ltda,7020,EMEF
193,93734,EMEF,ANTONIO CARLOS DE ANDRADA E SILVA,SÃO MIGUEL,MP I,emefacasilva@prefeitura.sp.gov.br,RUA BALTAZAR SANTANA,365,JARDIM PLANALTO,"RUA BALTAZAR SANTANA, 365 - JARDIM PLANALTO",8040420,20541899,,Singular Gestão de Serviços Ltda,7021,EMEF
194,93742,EMEF,"LUIS SAIA, ARQ.",SÃO MIGUEL,MP I,emeflsaia@prefeitura.sp.gov.br,RUA AMERICO GOMES DA COSTA,93,VILA AMERICANA,"RUA AMERICO GOMES DA COSTA, 93 - VILA AMERICANA",8010120,20372056,22970628,Singular Gestão de Serviços Ltda,7011,EMEF
195,93751,EMEF,"PAULO ROLIM LOUREIRO, D.",SÃO MIGUEL,MP I,emefprloureiro@prefeitura.sp.gov.br,RUA JOAO NICARIO ELEUTERIO,374,CIDADE NOVA SAO MIGUEL,"RUA JOAO NICARIO ELEUTERIO, 374 - CIDADE NOVA SAO MIGUEL",8042080,20540110,20544822,Singular Gestão de Serviços Ltda,7012,EMEF
196,93769,EMEF,"PEDRO DE FRONTIN, ALM.",SÃO MIGUEL,MP I,emefpfrontin@prefeitura.sp.gov.br,RUA JOSÉ FERREIRA CRESPO,495,JARDIM SÃO VICENTE,"RUA JOSÉ FERREIRA CRESPO, 495 - JARDIM SÃO VICENTE",8021480,22975814,,Singular Gestão de Serviços Ltda,7013,EMEF
197,93777,EMEF,"FERNANDO DE AZEVEDO, PROF.",SÃO MIGUEL,MP II,emeffazevedo@prefeitura.sp.gov.br,RUA TAPERA,415,VILA NOVA CURUCA,"RUA TAPERA, 415 - VILA NOVA CURUCA",8032450,20351648,25147430,Singular Gestão de Serviços Ltda,7014,EMEF
198,93785,EMEF,JOAO RIBEIRO DE BARROS,GUAIANASES,G,emefjrbarros@prefeitura.sp.gov.br,RUA ANANAI,968,VILA NOVA CURUCA,"RUA ANANAI, 968 - VILA NOVA CURUCA",8032370,25133616,20351650,Apetece Sistemas de Alimentação Ltda,6995,EMEF
199,93793,EMEF,"JOSE DE ANCHIETA, PE.",SÃO MIGUEL,MP I,emefjanchieta@prefeitura.sp.gov.br,AVENIDA INAJAGUACU,13,VILA PROGRESSO,"AVENIDA INAJAGUACU, 13 - VILA PROGRESSO",8240530,20516273,,Singular Gestão de Serviços Ltda,7015,EMEF
200,93807,EMEF,"JOAO AUGUSTO BREVES, DR.",SÃO MIGUEL,MP I,emefjabreves@prefeitura.sp.gov.br,RUA CECÍLIA ITER,746,VILA PROGRESSO ZONA LESTE,"RUA CECÍLIA ITER, 746 - VILA PROGRESSO ZONA LESTE",8240730,20518637,,Singular Gestão de Serviços Ltda,7016,EMEF
201,93815,EMEF,ALEXANDRE DE GUSMAO,GUAIANASES,G,EMEFAGUSMAO@PREFEITURA.SP.GOV.BR,RUA PORTO DO BEZERRA,25,JARDIM GUAIANAZES,"RUA PORTO DO BEZERRA, 25 - JARDIM GUAIANAZES",8440000,20351656,20340201,Apetece Sistemas de Alimentação Ltda,6974,EMEF
202,93823,EMEF,HENRIQUE FELIPE DA COSTA - HENRICAO,SÃO MIGUEL,MP II,emefhenricao@prefeitura.sp.gov.br,RUA PATAJUBA,18,JARDIM CAMPOS,"RUA PATAJUBA, 18 - JARDIM CAMPOS",8160090,20354244,20340584,Singular Gestão de Serviços Ltda,7028,EMEF
203,93831,EMEF,ANTONIA E ARTUR BEGBIE,SÃO MIGUEL,MP II,emefaabegbie@prefeitura.sp.gov.br,RUA ILHA DE MARUI,100,JARDIM CAMPOS,"RUA ILHA DE MARUI, 100 - JARDIM CAMPOS",8151710,25147513,20353844,Singular Gestão de Serviços Ltda,6999,EMEF
204,93840,EMEF,"NEWTON REIS, GEN.",SÃO MIGUEL,MP II,emefnreis@prefeitura.sp.gov.br,RUA JOSE ALEXANDRE MACHADO,22,JARDIM SILVA TELES,"RUA JOSE ALEXANDRE MACHADO, 22 - JARDIM SILVA TELES",8160460,25617361,,Singular Gestão de Serviços Ltda,7000,EMEF
205,93858,EMEF,"MARIA IMILDA DO SANTISSIMO SACRAMENTO, ME.",SÃO MIGUEL,MP II,emefmissacramento@prefeitura.sp.gov.br,RUA GENDIROBA,210,JARDIM MIRAGAIA,"RUA GENDIROBA, 210 - JARDIM MIRAGAIA",8022080,25865251,25845448,Singular Gestão de Serviços Ltda,7017,EMEF
206,93866,EMEF,RAIMUNDO CORREIA,SÃO MIGUEL,MP I,emefrcorreia@prefeitura.sp.gov.br,RUA DOUTOR JOSÉ DE PORCIÚNCULA,986,PARQUE PAULISTANO,"RUA DOUTOR JOSÉ DE PORCIÚNCULA, 986 - PARQUE PAULISTANO",8080650,25852273,,Singular Gestão de Serviços Ltda,7018,EMEF
207,93874,EMEF,JOSE AMERICO DE ALMEIDA,SÃO MIGUEL,MP I,emefjaalmeida@prefeitura.sp.gov.br,RUA ALTOS DO OITI,537,VILA HELENA,"RUA ALTOS DO OITI, 537 - VILA HELENA",8081410,25865469,25810143,Singular Gestão de Serviços Ltda,7019,EMEF
208,93882,EMEF,"JOSE BENTO DE ASSIS, PROF.",SÃO MIGUEL,MP I,emefjbassis@prefeitura.sp.gov.br,RUA SAO GONCALO DO RIO DAS PEDRAS,140,VILA MARA,"RUA SAO GONCALO DO RIO DAS PEDRAS, 140 - VILA MARA",8081000,25812539,,Singular Gestão de Serviços Ltda,7022,EMEF
209,93891,EMEF,ARMANDO CRIDEY RIGHETTI,SÃO MIGUEL,MP I,emefacrighetti@prefeitura.sp.gov.br,RUA CORDÃO DE SÃO FRANCISCO,797,VILA AIMORÉ,"RUA CORDÃO DE SÃO FRANCISCO, 797 - VILA AIMORÉ",8190000,25810360,25865533,Singular Gestão de Serviços Ltda,7001,EMEF
210,93904,EMEF,CAPISTRANO DE ABREU,SÃO MIGUEL,MP I,emefcabreu@prefeitura.sp.gov.br,RUA CACHOEIRA MANGAVAL,120,VILA ITAIM,"RUA CACHOEIRA MANGAVAL, 120 - VILA ITAIM",8190350,25810794,25810906,Singular Gestão de Serviços Ltda,7002,EMEF
211,93912,EMEF,"CARLOS PASQUALE, PROF.",SÃO MIGUEL,MP II,emefcpasquale@prefeitura.sp.gov.br,AVENIDA BARAO DE ALAGOAS,223,ITAIM PAULISTA,"AVENIDA BARAO DE ALAGOAS, 223 - ITAIM PAULISTA",8120000,29638634,,Singular Gestão de Serviços Ltda,7003,EMEF
212,93921,EMEF,EZEQUIEL RAMOS JUNIOR,SÃO MIGUEL,MP II,emeferjunior@prefeitura.sp.gov.br,RUA JOSE BORGES DO CANTO,18,JARDIM CAMARGO,"RUA JOSE BORGES DO CANTO, 18 - JARDIM CAMARGO",8142010,29632626,25673420,Singular Gestão de Serviços Ltda,7004,EMEF
213,93939,EMEF,SUD MENNUCCI,SÃO MIGUEL,MP II,emefsmennucci@prefeitura.sp.gov.br,RUA JOÃO BISCIONE,200,JARDIM CAMARGO NOVO,"RUA JOÃO BISCIONE, 200 - JARDIM CAMARGO NOVO",8121700,25672416,,Singular Gestão de Serviços Ltda,7005,EMEF
214,93947,EMEF,"OTHELO FRANCO, GEN.",PENHA,PE II,emefofranco@prefeitura.sp.gov.br,RUA JARINU,730,CIDADE MÃE DO CÉU,"RUA JARINU, 730 - CIDADE MÃE DO CÉU",3306000,22954128,,Apetece Sistemas de Alimentação Ltda,7167,EMEF
215,93955,EMEF,JACKSON DE FIGUEIREDO,PENHA,PE II,emefjfigueiredo@prefeitura.sp.gov.br,RUA ITAPURA,210,VILA GOMES CARDIM,"RUA ITAPURA, 210 - VILA GOMES CARDIM",3310000,22954085,22965234,Apetece Sistemas de Alimentação Ltda,7168,EMEF
216,93963,EMEF,"JOAO PINHEIRO, PRES.",PENHA,PE II,EMEFJOAOPINHEIRO@PREFEITURA.SP.GOV.BR,RUA DR EDGAR GARCIA VIEIRA,140,VILA MATILDE,"RUA DR EDGAR GARCIA VIEIRA, 140 - VILA MATILDE",3510040,26534268,26538062,Apetece Sistemas de Alimentação Ltda,7040,EMEF
217,93971,EMEF,19 DE NOVEMBRO,PENHA,PE II,EMEF19NOVEMBRO@PREFEITURA.SP.GOV.BR,PRACA BAUXITA,99,VILA DALILA,"PRACA BAUXITA, 99 - VILA DALILA",3520000,26511274,26511471,Apetece Sistemas de Alimentação Ltda,7041,EMEF
218,93980,EMEF,FIRMINO TIBURCIO DA COSTA,PENHA,PE II,emeffirminotiburcio@prefeitura.sp.gov.br,RUA PEDRO MORCILLA FILHO,578,CIDADE PATRIARCA,"RUA PEDRO MORCILLA FILHO, 578 - CIDADE PATRIARCA",3546010,29589237,29582311,Apetece Sistemas de Alimentação Ltda,7042,EMEF
219,93998,EMEF,"ABRAO DE MORAES, PROF.",PENHA,PE II,emefamoraes@prefeitura.sp.gov.br,RUA ISAURA VERGUEIRO NAUFEL,238,VILA NHOCUNE,"RUA ISAURA VERGUEIRO NAUFEL, 238 - VILA NHOCUNE",3560020,27493900,27471566,Apetece Sistemas de Alimentação Ltda,7043,EMEF
220,94005,EMEF,HUMBERTO DE CAMPOS,PENHA,PE II,emefhumbertocampos@prefeitura.sp.gov.br,AVENIDA PROFESSOR XAVIER DE LIMA,644,JARDIM HERCILIA,"AVENIDA PROFESSOR XAVIER DE LIMA, 644 - JARDIM HERCILIA",3557000,27494506,,Apetece Sistemas de Alimentação Ltda,7044,EMEF
221,94013,EMEF,JOSE BONIFACIO,PENHA,PE II,EMEFJOSEBONIFACIO@PREFEITURA.SP.GOV.BR,RUA DOUTOR FREDERICO BROTERO,134,CIDADE PATRIARCA,"RUA DOUTOR FREDERICO BROTERO, 134 - CIDADE PATRIARCA",3552080,29581377,,Apetece Sistemas de Alimentação Ltda,7045,EMEF
222,94021,EMEF,"CAIRU, VISCONDE DE",PENHA,PE II,EMEFVISCONDECAIRU@PREFEITURA.SP.GOV.BR,PRACA ARARUVA,199,CIDADE PATRIARCA,"PRACA ARARUVA, 199 - CIDADE PATRIARCA",3552010,26852359,,Apetece Sistemas de Alimentação Ltda,7046,EMEF
223,94030,EMEF,ARTHUR ALVIM,PENHA,PE II,EMEFAALVIM@PREFEITURA.SP.GOV.BR,RUA DESEMBARGADOR ROCHA PORTELA,464,ARTUR ALVIM,"RUA DESEMBARGADOR ROCHA PORTELA, 464 - ARTUR ALVIM",3567000,29582051,29585837,Apetece Sistemas de Alimentação Ltda,7047,EMEF
224,94048,EMEF,"ANTONIO VIEIRA, PE.",PENHA,PE I,EMEFAVIEIRA@PREFEITURA.SP.GOV.BR,RUA ANTONINO BACAERI,171,JARDIM NORDESTE,"RUA ANTONINO BACAERI, 171 - JARDIM NORDESTE",3687060,20420926,,Apetece Sistemas de Alimentação Ltda,7029,EMEF
225,94056,EMEF,"JENNY GOMES, DA.",PENHA,PE I,EMEFJGOMES@PREFEITURA.SP.GOV.BR,RUA JOHN NEPER,109,JARDIM COIMBRA,"RUA JOHN NEPER, 109 - JARDIM COIMBRA",3693100,22805121,,Apetece Sistemas de Alimentação Ltda,7030,EMEF
226,94064,EMEF,8 DE MAIO,ITAQUERA,IQ,emef8maio@prefeitura.sp.gov.br,RUA CAMBAXIRRA,176,CIDADE ANTÔNIO ESTEVÃO DE CARVALHO,"RUA CAMBAXIRRA, 176 - CIDADE ANTÔNIO ESTEVÃO DE CARVALHO",8223090,20414550,,Apetece Sistemas de Alimentação Ltda,6991,EMEF
227,94072,EMEF,"WANY SALGADO ROCHA, PROFA.",PENHA,PE I,EMEFPROFWANNY@PREFEITURA.SP.GOV.BR,RUA SÍLVIO RIBEIRO DOS SANTOS,104,VILA UNIAO ZONA LESTE,"RUA SÍLVIO RIBEIRO DOS SANTOS, 104 - VILA UNIAO ZONA LESTE",3683040,22804192,,Apetece Sistemas de Alimentação Ltda,7032,EMEF
228,94081,EMEF,"HENRIQUE PEGADO, PROF.",PENHA,PE I,EMEFHPEGADO@PREFEITURA.SP.GOV.BR,RUA ITAPIRUNA,131,JARDIM PENHA,"RUA ITAPIRUNA, 131 - JARDIM PENHA",3757050,25467508,25464008,Apetece Sistemas de Alimentação Ltda,7033,EMEF
229,94099,EMEF,"JUAREZ TAVORA, MAL.",PENHA,PE I,emefmarechaljuarez@prefeitura.sp.gov.br,RUA JAPARAIQUARA,679,VILA RIO BRANCO,"RUA JAPARAIQUARA, 679 - VILA RIO BRANCO",3873000,22809975,20410460,Apetece Sistemas de Alimentação Ltda,7034,EMEF
230,94102,EMEF,"FRANCISCO DE MONT' ALVERNE, FREI",PENHA,PE I,EMEFFREIFRANCISCO@PREFEITURA.SP.GOV.BR,RUA SAO CELSO,365,VILA DOMITILA,"RUA SAO CELSO, 365 - VILA DOMITILA",3626000,29582803,29571835,Apetece Sistemas de Alimentação Ltda,7035,EMEF
231,94111,EMEF,LUIS WASHINGTON VITA,PENHA,PE I,emefluizwashington@prefeitura.sp.gov.br,RUA CONCEICAO DA BREJAUBA,68,JARDIM POPULAR,"RUA CONCEICAO DA BREJAUBA, 68 - JARDIM POPULAR",3671010,27913790,29574092,Apetece Sistemas de Alimentação Ltda,7036,EMEF
