Ordem,EOL,TIPO DE U.E,NOME,DRE,SIGLA/LOTE,E-MAIL,ENDEREÇO,Nº,BAIRRO,,CEP,TELEFONE,TELEFONE2,EMPRESA,COD. CODAE
160,19542,EMEI,"ANA MARCHIONE SALLES, PROFA.",PENHA,PE I,emeiamsalles@gmail.com,RUA DAS FOLHAGENS,18,JARDIM POPULAR,"RUA DAS FOLHAGENS, 18 - JARDIM POPULAR",03673-070,27913565,2791-5782,Apetece Sistemas de Alimentação Ltda,9382
161,19593,EMEI,IGUATEMI,SÃO MATEUS,SM I,emeiiguatemi@prefeitura.sp.gov.br,RUA TAURO,S/N,IGUATEMI,"RUA TAURO, S/N - IGUATEMI",08371-770,27316504,,SHA Comércio de Alimentos Ltda,11311
162,19623,EMEI,"RUMI OIKAWA, PROFA.",SÃO MATEUS,SM I,emeiroikawa@prefeitura.sp.gov.br,RUA DOS LIRIOS,10,PARQUE DAS FLORES,"RUA DOS LIRIOS, 10 - PARQUE DAS FLORES",08391-280,27513811,2751-3811,SHA Comércio de Alimentos Ltda,11330
163,19641,CEMEI,JARDIM KIOTO,CAPELA DO SOCORRO,CS,MARCIABELLOTO@PREFEITURA.SP.GOV.BR,RUA DANIEL ATTERBOM,S/N,JARDIM KIOTO,RUA DANIEL ATTERBOM S/N,04832-100,59244089,,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,
164,19642,EMEI,PARQUE SAVOY CITY,ITAQUERA,IQ,emeipscity@sme.prefeitura.sp.gov.br,RUA JACINTO FERREIRA,250,DISTRITO CIDADE LIDER,"RUA JACINTO FERREIRA, 250 - DISTRITO CIDADE LIDER",03584-170,22170754,,Apetece Sistemas de Alimentação Ltda,
165,19644,CEMEI,JARDIM NORONHA,CAPELA DO SOCORRO,CS,MAURA3M@HOTMAIL.COM,RUA TRÊS CORAÇÕES,S/N,JARDIM NORONHA,"RUA TRÊS CORAÇÕES, S/N - JARDIM NORONHA",,59313167,,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,13718
166,19646,EMEI,JARDIM LUCÉLIA,CAPELA DO SOCORRO,CS,,RUA NÉLIA ANDRÉ,S/N,JARDIM LUCÉLIA,"RUA NÉLIA ANDRÉ, SN - JARDIM LUCÉLIA",04852-202,55283370,,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,13723
167,19647,EMEI,JARDIM CASA GRANDE,CAPELA DO SOCORRO,CS,,RUA JOSE NICOLAU DE LIMA,S/N,JARDIM CASA GRANDE,"RUA JOSE NICOLAU DE LIMA, SN - JARDIM CASA GRANDE",04865-010,59220076,,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,13713
168,19650,EMEI,MARECHAL TITO,SÃO MIGUEL,MP II,,AVENIDA MARECHAL TITO,6620,ITAIM PAULISTA,AVENIDA MARECHAL TITO,,,,Singular Gestão de Serviços Ltda,
169,19658,EMEI,"FERNANDO CAMARGO SOARES, PROF.",JAÇANÃ / TREMEMBÉ,JT,emeifcsoares@prefeitura.sp.gov.br,RUA GIUSEPPE MARINO,S/N,PARQUE NOVO MUNDO,"RUA GIUSEPPE MARINO, S/N - PARQUE NOVO MUNDO",02181-190,26363446,2636-3446,SHA Comércio de Alimentos Ltda,9463
170,19666,EMEI,"DINAH GALVAO , PROFA.",PENHA,PE I,emeigalvao@prefeitura.sp.gov.br,RUA JAN LAND,S/N,JARDIM VERÔNIA,"RUA JAN LAND, S/N - JARDIM VERÔNIA",03823-100,25467997,2545-6104,Apetece Sistemas de Alimentação Ltda,9432
171,19682,EMEI,LUIZ GONZAGA DO NASCIMENTO - GONZAGAO,CAPELA DO SOCORRO,CS,emeilgnascimento@prefeitura.sp.gov.br,RUA JOÃO ROSCHEL CHRISTE,S/N,JARDIM N PARELHEIROS,"RUA JOÃO ROSCHEL CHRISTE, S/N - JARDIM N PARELHEIROS",04890-210,59211515,,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,9427
172,90425,EMEI,MONTEIRO LOBATO,IPIRANGA,IP I,emeimlobato@prefeitura.sp.gov.br,RUA BAHIA,257,HIGIENOPOLIS,"RUA BAHIA, 257 - HIGIENOPOLIS",01244-001,36613685,3666-3548,Singular Gestão de Serviços Ltda,6610
173,90549,EMEI,VIRIATO CORREIA,CAPELA DO SOCORRO,CS,emeivcorreia@prefeitura.sp.gov.br,RUA BENTO RODRIGUES BASTOS,25,VILA FRIBURGO,"RUA BENTO RODRIGUES BASTOS, 25 - VILA FRIBURGO",04882-040,56672549,,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,6580
174,90557,EMEI,CARLOS DRUMMOND DE ANDRADE,CAPELA DO SOCORRO,CS,emeicandrade@prefeitura.sp.gov.br,RUA JAIME SCHUNCK BRANCO,S/N,SOCORRO,"RUA JAIME SCHUNCK BRANCO, S/N - SOCORRO",04766-010,55218789,,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,6581
175,90565,EMEI,CASTRO ALVES,CAPELA DO SOCORRO,CS,emeicalves@prefeitura.sp.gov.br,RUA MANOEL VITORINO PEREIRA,93,JORDANÓPOLIS,"RUA MANOEL VITORINO PEREIRA, 93 - JORDANÓPOLIS",04830-020,59710844,,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,6582
176,90573,EMEI,"RIO BRANCO, BR. DO",CAPELA DO SOCORRO,CS,emeibrbranco@prefeitura.sp.gov.br,RUA RAFARD,S/N,GRAJAU,"RUA RAFARD, S/N - GRAJAU",04840-220,55280231,,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,6583
177,90581,EMEI,LUIS TRAVASSOS,CAPELA DO SOCORRO,CS,emeiltravassos@prefeitura.sp.gov.br,RUA SANTO ANTONIO DO CANTARO,88,JARDIM BONITO,"RUA SANTO ANTONIO DO CANTARO, 88 - JARDIM BONITO",04829-070,59291929,,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,6584
178,90590,EMEI,"ARISTIDES NOGUEIRA, DR.",CAPELA DO SOCORRO,CS,emeianogueira@prefeitura.sp.gov.br,RUA CAMPOS DO ARAVIL,290,PARQUE COCAIA,"RUA CAMPOS DO ARAVIL, 290 - PARQUE COCAIA",04850-260,59320037,,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,6585
179,90603,EMEI,ZUMBI DOS PALMARES,CAPELA DO SOCORRO,CS,emeizpalmares@prefeitura.sp.gov.br,RUA ARMANDO SPÓSITO,225,PARQUE AMÉRICA,"RUA ARMANDO SPÓSITO, 225 - PARQUE AMÉRICA",04822-160,59718664,,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,6586
180,90620,EMEI,MARIALICE MENCARINI FORACCHI,CAPELA DO SOCORRO,CS,emeimmforacchi@prefeitura.sp.gov.br,RUA FRANCISCO M. OLIVEIRA JR.,318,JARDIM 3 CORAÇÕES,"RUA FRANCISCO M. OLIVEIRA JR., 318 - JARDIM 3 CORAÇÕES",04855-340,55285666,,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,6587
181,90638,EMEI,SERGIO CARDOSO,CAPELA DO SOCORRO,CS,emeiscardoso@prefeitura.sp.gov.br,RUA DJALMA PESSOLATO,57,JARDIM SATELITE,"RUA DJALMA PESSOLATO, 57 - JARDIM SATELITE",04815-120,56666106,,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,6588
182,90646,EMEI,CLARA NUNES,CAPELA DO SOCORRO,CS,emeicnunes@prefeitura.sp.gov.br,RUA ADIB CHAMMAS,104,VELEIROS,"RUA ADIB CHAMMAS, 104 - VELEIROS",04845-200,55224183,5521-2047,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,6589
183,90654,EMEI,PIRATININGA,ITAQUERA,IQ,emeipiratininga@prefeitura.sp.gov.br,RUA GALEANDRA,149,JARDIM ELIANE,"RUA GALEANDRA, 149 - JARDIM ELIANE",03577-040,27413876,2741-3876,Apetece Sistemas de Alimentação Ltda,6663
184,90662,EMEI,MARIA MONTESSORI,ITAQUERA,IQ,emeimmontessori@prefeitura.sp.gov.br,AVENIDA OSVALDO VALLE CORDEIRO,263,JARDIM BRASÍLIA,"AVENIDA OSVALDO VALLE CORDEIRO, 263 - JARDIM BRASÍLIA",03584-000,27410952,2741-0952,Apetece Sistemas de Alimentação Ltda,6630
185,90671,EMEI,LEONARDO ARROYO,PENHA,PE II,leonardoarroyo@ig.com.br,RUA PADRE JOSÉ VIEIRA DE MATOS,44,COHAB I - ARTUR ALVIM,"RUA PADRE JOSÉ VIEIRA DE MATOS, 44 - COHAB I - ARTUR ALVIM",03590-010,27426405,2742-1120,Apetece Sistemas de Alimentação Ltda,6666
186,90689,EMEI,"MARIA VITORIA DA CUNHA, PROFA.",PENHA,PE II,emeimvcunha@prefeitura.sp.gov.br,RUA PADRE TOMAS DE VILA NOVA,644,COHAB I - ARTUR ALVIM,"RUA PADRE TOMAS DE VILA NOVA, 644 - COHAB I - ARTUR ALVIM",03590-100,27417293,,Apetece Sistemas de Alimentação Ltda,6668
187,90697,EMEI,PEDRO BRASIL BANDECCHI,PENHA,PE II,emeipbbandecchi@prefeitura.sp.gov.br,AVENIDA WALDEMAR TIETZ,950,COHAB I - ARTUR ALVIM,"AVENIDA WALDEMAR TIETZ, 950 - COHAB I - ARTUR ALVIM",03589-000,27411175,2741-7617,Apetece Sistemas de Alimentação Ltda,6670
188,90701,EMEI,IBIAPABA MARTINS,PENHA,PE II,emeimartins@prefeitura.sp.gov.br,RUA MARIA EUGÊNIA CELSO,295,PARQUE ARTUR ALVIM,"RUA MARIA EUGÊNIA CELSO, 295 - PARQUE ARTUR ALVIM",03568-050,27423055,2741-83-60,Apetece Sistemas de Alimentação Ltda,6665
189,90719,EMEI,"LUCIANO ROBERTO, PROF.",PENHA,PE II,emeilroberto@prefeitura.sp.gov.br,RUA PADRE CLÁUDIO GOMES,82,COHAB I - ARTUR ALVIM,"RUA PADRE CLÁUDIO GOMES, 82 - COHAB I - ARTUR ALVIM",03590-020,27416413,2741-4316,Apetece Sistemas de Alimentação Ltda,6667
190,90727,EMEI,ROBERTO VICTOR CORDEIRO,PENHA,PE II,emeirvcordeiro@prefeitura.sp.gov.br,AVENIDA SYLVIO TORRES,349,COHAB I ANCHIETA,"AVENIDA SYLVIO TORRES, 349 - COHAB I ANCHIETA",03589-010,27428270,2747-3890,Apetece Sistemas de Alimentação Ltda,6676
191,90735,EMEI,JOSE DUARTE,ITAQUERA,IQ,meijduarte@prefeitura.sp.gov.br,RUA DIAS COELHO,97,CIDADE LÍDER,"RUA DIAS COELHO, 97 - CIDADE LÍDER",08280-360,27471555,2747-2111,Apetece Sistemas de Alimentação Ltda,6625
192,90743,EMEI,"DENISE MERCIER RODRIGUES AGUIAR, PROFA.",ITAQUERA,IQ,emeidmraguiar@prefeitura.sp.gov.br,RUA GIOVANI QUADRI,354,ITAQUERA,"RUA GIOVANI QUADRI, 354 - ITAQUERA",08255-500,25216055,2521-6055,Apetece Sistemas de Alimentação Ltda,6631
193,90751,EMEI,"BUENO DE AZEVEDO, DR.",ITAQUERA,IQ,emeibazevedo@prefeitura.sp.gov.br,RUA AUGUSTO CAVALCANTI,232,ITAQUERA,"RUA AUGUSTO CAVALCANTI, 232 - ITAQUERA",08253-110,25226106,2521-1264,Apetece Sistemas de Alimentação Ltda,6632
194,90760,EMEI,"SYLVIA VARONI DE CASTRO, PROFA.",ITAQUERA,IQ,emeisvcastro@prefeitura.sp.gov.br,RUA ANTONIO GANDINI,26,ITAQUERA,"RUA ANTONIO GANDINI , 26 - ITAQUERA",08215-460,22055325,2079-0920,Apetece Sistemas de Alimentação Ltda,6633
195,90778,EMEI,"LEONARDO VAN ACKER, Prof.",ITAQUERA,IQ,emeilvacker@prefeitura.sp.gov.br,RUA CONSTANTINO FERNANDES,21,ITAQUERA,"RUA CONSTANTINO FERNANDES, 21 - ITAQUERA",08255-030,25215541,2521-1318,Apetece Sistemas de Alimentação Ltda,6634
196,90786,EMEI,"FLORIANO PEIXOTO, MAL.",ITAQUERA,IQ,emeifpeixoto@prefeitura.sp.gov.br,RUA VICTÓRIO SANTIM,645,ITAQUERA,"RUA VICTÓRIO SANTIM, 645 - ITAQUERA",08290-001,22056280,2205-6280,Apetece Sistemas de Alimentação Ltda,6635
197,90794,EMEI,ANTONIO GONCALVES DIAS,ITAQUERA,IQ,emeiagdias@prefeitura.sp.gov.br,RUA ANTÔNIO MOURA ANDRADE,395,JARDIM REDIL,"RUA ANTÔNIO MOURA ANDRADE, 395 - JARDIM REDIL",08210-660,22050986,2205-0986,Apetece Sistemas de Alimentação Ltda,6636
198,90808,EMEI,"MANOEL DA NOBREGA, PE.",ITAQUERA,IQ,emeimnobrega@prefeitura.sp.gov.br,RUA ADELINO,100,ITAQUERA,"RUA ADELINO, 100 - ITAQUERA",08225-160,29446539,2944-6539,Apetece Sistemas de Alimentação Ltda,6637
199,90816,EMEI,"MARIA HELENA BARBOSA MARTINS, PROFA.",ITAQUERA,IQ,emeimhbmartins@prefeitura.sp.gov.br,RUA IBIAJARA,757,PARADA XV DE NOVEMBRO,"RUA IBIAJARA, 757 - PARADA XV DE NOVEMBRO",08248-110,22056890,2079-0030,Apetece Sistemas de Alimentação Ltda,6638
200,90824,EMEI,RONALD DE CARVALHO,ITAQUERA,IQ,emeircarvalho@prefeitura.sp.gov.br,RUA LINCOLN JUNQUEIRA,590,JARDIM SÃO PEDRO,"RUA LINCOLN JUNQUEIRA, 590 - JARDIM SÃO PEDRO",08420-660,25579738,2557-2052,Apetece Sistemas de Alimentação Ltda,6639
201,90832,EMEI,RODRIGUES DE ABREU,GUAIANASES,G,emeirabreu@prefeitura.sp.gov.br,RUA JOÃO DOS REIS,4,VILA PRINCESA ISABEL,"RUA JOÃO DOS REIS, 4 - VILA PRINCESA ISABEL",08410-150,25578187,2557-1949,Apetece Sistemas de Alimentação Ltda,6640
202,90841,EMEI,"GIANFEDERICO PORTA, PROF.",GUAIANASES,G,emeigporta@prefeitura.sp.gov.br,RUA TORRE DE SANTIAGO,323,JARDIM SOARES,"RUA TORRE DE SANTIAGO, 323 - JARDIM SOARES",08460-180,25570634,,Apetece Sistemas de Alimentação Ltda,6641
203,90859,EMEI,TOMAS GALHARDO,GUAIANASES,G,emeitgalhardo@prefeitura.sp.gov.br,RUA INÁCIO PINTO LIMA,79,PRESTES MAIA,"RUA INÁCIO PINTO LIMA, 79 - PRESTES MAIA",08490-020,25552757,2555-3256,Apetece Sistemas de Alimentação Ltda,6642
204,90867,EMEI,PESTALOZZI,SÃO MATEUS,SM I,emeipestalozzi@prefeitura.sp.gov.br,RUA ABNER RIBEIRO BORGES,154,JARDIM ROSELY,"RUA ABNER RIBEIRO BORGES, 154 - JARDIM ROSELY",08380-520,27312774,2736-1841,SHA Comércio de Alimentos Ltda,11325
205,90875,EMEI,FELIPE D'OLIVEIRA,SÃO MATEUS,SM I,emeifoliveira@prefeitura.sp.gov.br,RUA ANTONIO PAVAO,5,PARQUE BOA ESPERANÇA,"RUA ANTONIO PAVAO, 5 - PARQUE BOA ESPERANÇA",08341-070,27311580,2731-1580,SHA Comércio de Alimentos Ltda,11318
206,90883,EMEI,JESUINA NUNES BARBOSA,SÃO MATEUS,SM II,emeijnbarbosa@prefeitura.sp.gov.br,RUA EMBAIXADOR  ILDEFONSO FALCAO,157,SÃO MATEUS,"RUA EMBAIXADOR  ILDEFONSO FALCAO, 157 - SÃO MATEUS",03964-020,29193644,2015-3217,Comercial Milano Brasil LTDA,11321
207,90891,EMEI,CECILIA MEIRELLES,SÃO MATEUS,SM II,emeicmeirelles@prefeitura.sp.gov.br,RUA DR. PAULO QUEIROZ,987,JARDIM NOVE DE JULHO,"RUA DR. PAULO QUEIROZ, 987 - JARDIM NOVE DE JULHO",03951-090,29193090,2019-4577,Comercial Milano Brasil LTDA,11314
208,90905,CEU EMEI,"JOSE GASPAR, D.",ITAQUERA,IQ,emeijosegaspar@prefeitura.sp.gov.br,RUA OLGA FADEL ABARCA,S/N,JARDIM SANTA TEREZINHA,"RUA OLGA FADEL ABARCA, S/N - JARDIM SANTA TEREZINHA",03572-020,27237520,2723-7521,Apetece Sistemas de Alimentação Ltda,6628
209,90913,EMEI,FLORINDA ROBERTO QUEIROZ DE CASTRO,ITAQUERA,IQ,emeifrqcastro@prefeitura.sp.gov.br,RUA LINCOLN JUNQUEIRA,100,JARDIM SÃO PEDRO,"RUA LINCOLN JUNQUEIRA, 100 - JARDIM SÃO PEDRO",08420-660,25544538,2557-2039,Apetece Sistemas de Alimentação Ltda,6643
210,90921,EMEI,"PEDRO CHAVES, MIN.",ITAQUERA,IQ,emeipchaves@prefeitura.sp.gov.br,RUA ISABEL URBINA,149,ITAQUERA,"RUA ISABEL URBINA, 149 - ITAQUERA",08253-210,27416715,2522-8019,Apetece Sistemas de Alimentação Ltda,6644
211,90930,EMEI,ERNANI SILVA BRUNO,ITAQUERA,IQ,emeiesbruno@prefeitura.sp.gov.br,RUA DANIEL MONGOLO,145,ITAQUERA,"RUA DANIEL MONGOLO, 145 - ITAQUERA",08250-580,22056872,2205-6872,Apetece Sistemas de Alimentação Ltda,6645
212,90948,EMEI,MIROEL SILVEIRA,ITAQUERA,IQ,emeimsilveira@prefeitura.sp.gov.br,RUA CORRUIRA DO BREJO,133,ITAQUERA,"RUA CORRUIRA DO BREJO, 133 - ITAQUERA",08253-530,25216670,2521-6670,Apetece Sistemas de Alimentação Ltda,6646
213,90956,EMEI,"CARLOS JEREISSATI, SEN.",ITAQUERA,IQ,emeicjereissati@prefeitura.sp.gov.br,RUA GUILHERME VALÊNCIA,125,ITAQUERA,"RUA GUILHERME VALÊNCIA, 125 - ITAQUERA",08253-280,25210496,2521-4433,Apetece Sistemas de Alimentação Ltda,6647
214,90964,EMEI,"APARECIDA MARIA DE MENDONCA, PROFA.",ITAQUERA,IQ,emeiapmmendonca@prefeitura.sp.gov.br,RUA ISIDORO DE LARA,150,ITAQUERA,"RUA ISIDORO DE LARA, 150 - ITAQUERA",08253-250,22863885,2521-7571,Apetece Sistemas de Alimentação Ltda,6648
215,90972,EMEI,MARGARIDA MARIA ALVES,GUAIANASES,G,emeimalves@prefeitura.sp.gov.br,RUA SANTO RIZZO,10,SANTA ETELVIAN I A,"RUA SANTO RIZZO, 10 - SANTA ETELVIAN I A",08470-250,22822117,2282-2117,Apetece Sistemas de Alimentação Ltda,6649
216,90981,EMEI,CARLOTA PEREIRA DE QUEIROZ,GUAIANASES,G,emeicpqueiroz@prefeitura.sp.gov.br,RUA FERNANDO GANGA,25,CIDADE TIRADENTES V,"RUA FERNANDO GANGA, 25 - CIDADE TIRADENTES V",08471-100,22822115,2516-0405,Apetece Sistemas de Alimentação Ltda,6650
217,90999,EMEI,ADONIRAN BARBOSA,GUAIANASES,G,emeiabarbosa@prefeitura.sp.gov.br,RUA DOS PEDREIROS,167,CIDADE TIRADENTES IV,"RUA DOS PEDREIROS, 167 - CIDADE TIRADENTES IV",08471-530,22822123,2516-0378,Apetece Sistemas de Alimentação Ltda,6651
218,91006,EMEI,"NILDO DO AMARAL JUNIOR, PE.",ITAQUERA,IQ,emeinamaral@prefeitura.sp.gov.br,RUA LOPES DE MEDEIROS,5-A,JARDIM NOSSA SRA. DO CARMO,"RUA LOPES DE MEDEIROS, 5-A - JARDIM NOSSA SRA. DO CARMO",08275-430,27482725,2748-2725,Apetece Sistemas de Alimentação Ltda,6652
219,91014,EMEI,AMACIO MAZZAROPI,GUAIANASES,G,emeiamazzaropi@prefeitura.sp.gov.br,RUA DR. FRANCISCO TENENTE TORRE,55,COHAB JUSCELINO,"RUA DR. FRANCISCO TENENTE TORRE, 55 - COHAB JUSCELINO",08472-070,25557666,2555-7666,Apetece Sistemas de Alimentação Ltda,6653
220,91022,EMEI,ODUVALDO VIANA FILHO,GUAIANASES,G,emeiviana@prefeitura.sp.gov.br,AVENIDA UTARO KANAI,216,COHAB JUSCELINO,"AVENIDA UTARO KANAI, 216 - COHAB JUSCELINO",08465-000,25552651,2555-2651,Apetece Sistemas de Alimentação Ltda,6654
221,91031,EMEI,SAMUEL WAINER,GUAIANASES,G,emeiswainer@prefeitura.sp.gov.br,RUA CONTO DE AREIA,69,CASTRO ALVES,"RUA CONTO DE AREIA, 69 - CASTRO ALVES",08474-220,29643925,2282-0440,Apetece Sistemas de Alimentação Ltda,6655
222,91057,EMEI,"LUIZ PEREIRA, PROF.",ITAQUERA,IQ,emeilaperreira@prefeitura.sp.gov.br,RUA JOSÉ OITICICA,113,JARDIM IPANEMA,"RUA JOSÉ OITICICA, 113 - JARDIM IPANEMA",03578-080,27245949,2724-5949,Apetece Sistemas de Alimentação Ltda,6629
223,91065,EMEI,ELIS REGINA,SÃO MATEUS,SM II,emeielisregina@prefeitura.sp.gov.br,RUA ERNESTO MANOGRASSO,340,SÃO MATEUS,"RUA ERNESTO MANOGRASSO, 340 - SÃO MATEUS",03963-100,29199960,2019-2422,Comercial Milano Brasil LTDA,11441
224,91073,EMEI,AUGUSTO FROEBEL,PENHA,PE I,emeiafroebel@prefeitura.sp.gov.br,RUA FÁBIO JOSÉ BEZERRA,643,PARQUE BOTURUSSU,"RUA FÁBIO JOSÉ BEZERRA, 643 - PARQUE BOTURUSSU",03805-000,29433098,2943-3098,Apetece Sistemas de Alimentação Ltda,6681
225,91081,EMEI,"MAX WOLF FILHO, SGT.",PENHA,PE I,emeimaxwolf@prefeitura.sp.gov.br,RUA FIGUEIRA DA POLINÉSIA,258,JARDIM MATARAZZO,"RUA FIGUEIRA DA POLINÉSIA, 258 - JARDIM MATARAZZO",03809-150,29432869,2546-7745,Apetece Sistemas de Alimentação Ltda,6682
226,91090,EMEI,"MIGUEL COSTA, GEN.",PENHA,PE I,emeimcosta@prefeitura.sp.gov.br,RUA ARROJADO LISBOA,37,JARDIM COTINHA,"RUA ARROJADO LISBOA, 37 - JARDIM COTINHA",03887-010,20423378,2280-9978,Apetece Sistemas de Alimentação Ltda,6669
227,91103,EMEI,JARDIM PEDRO JOSE NUNES,SÃO MIGUEL,MP I,emeijpjnunes@prefeitura.sp.gov.br,RUA FLOR DE SÃO MIGUEL,261,SÃO MIGUEL PAULISTA,"RUA FLOR DE SÃO MIGUEL, 261 - SÃO MIGUEL PAULISTA",08061-020,20370819,,Singular Gestão de Serviços Ltda,6684
228,91111,EMEI,EPITACIO PESSOA,SÃO MIGUEL,MP I,emeiepessoa@prefeitura.sp.gov.br,RUA DANIEL ARCIONI,10,LIMOEIRO,"RUA DANIEL ARCIONI, 10 - LIMOEIRO",08051-080,22809888,,Singular Gestão de Serviços Ltda,6685
229,91120,EMEI,AFRANIO PEIXOTO,SÃO MIGUEL,MP I,emeiapeixoto@prefeitura.sp.gov.br,AVENIDA MARIA SANTANA,230,SITIO CASA PINTADA,"AVENIDA MARIA SANTANA, 230 - SITIO CASA PINTADA",08030-150,20537250,,Singular Gestão de Serviços Ltda,6686
230,91138,EMEI,ANTONIO LAPENNA,SÃO MIGUEL,MP I,emeialapenna@prefeitura.sp.gov.br,RUA DIEGO CALADO,112,SÃO MIGUEL PAULISTA,"RUA DIEGO CALADO, 112 - SÃO MIGUEL PAULISTA",08011-420,22970178,,Singular Gestão de Serviços Ltda,6687
231,91146,EMEI,GRACILIANO RAMOS,SÃO MIGUEL,MP II,emeigramos@prefeitura.sp.gov.br,RUA GUIRAPÃ,478,VILA CURUÇÁ,"RUA GUIRAPÃ, 478 - VILA CURUÇÁ",08030-290,20354949,2514-7440,Singular Gestão de Serviços Ltda,6688
232,91154,EMEI,ANTONIO PEREIRA LIMA,GUAIANASES,G,emeiaplima@prefeitura.sp.gov.br,RUA ANANAI,982,VILA NOVA CURUÇÁ,"RUA ANANAI, 982 - VILA NOVA CURUÇÁ",08032-370,20351874,2514-7426,Apetece Sistemas de Alimentação Ltda,6624
233,91162,EMEI,MAGDALENA TAGLIAFERRO,GUAIANASES,G,emeimtagliaferro@prefeitura.sp.gov.br,RUA PORTO DO BEZERRA.,1056,PARQUE GUAIANASES,"RUA PORTO DO BEZERRA., 1056 - PARQUE GUAIANASES",08440-000,20355849,,Apetece Sistemas de Alimentação Ltda,6656
234,91171,EMEI,LUIZA HELENA DE BARROS,SÃO MIGUEL,MP II,emeilhbarros@prefeitura.sp.gov.br,RUA PATAJUBA,8,ITAIM PAULISTA,"RUA PATAJUBA, 8 - ITAIM PAULISTA",08160-090,20353777,,Singular Gestão de Serviços Ltda,6689
235,91189,EMEI,JOSE DE ALENCAR,SÃO MIGUEL,MP II,emeijalencar@prefeitura.sp.gov.br,RUA ALICIO CLARA SIMÃO,251,ITAIM PAULISTA,"RUA ALICIO CLARA SIMÃO, 251 - ITAIM PAULISTA",08160-580,25613788,,Singular Gestão de Serviços Ltda,6690
236,91197,EMEI,"PEDRO II, D.",SÃO MIGUEL,MP I,emeidompedro2@prefeitura.sp.gov.br,RUA DR. JOSE DE PORCIÚNCULA,1280,PARQUE PAULISTANO,"RUA DR. JOSE DE PORCIÚNCULA, 1280 - PARQUE PAULISTANO",08080-650,25865140,,Singular Gestão de Serviços Ltda,6691
237,91201,EMEI,MARIA QUITERIA,SÃO MIGUEL,MP I,emeimquiteria@prefeitura.sp.gov.br,RUA MARFIM VEGETAL,126,SÃO MIGUEL PAULISTA,"RUA MARFIM VEGETAL, 126 - SÃO MIGUEL PAULISTA",08081-330,25810422,,Singular Gestão de Serviços Ltda,6692
238,91219,EMEI,"ALBERTO MENDES JUNIOR, CAP.",SÃO MIGUEL,MP II,emeiamendesjr@prefeitura.sp.gov.br,RUA NOGUEIRA VIOTTI,452,JARDIM CAMARGO VELHO,"RUA NOGUEIRA VIOTTI, 452 - JARDIM CAMARGO VELHO",08120-300,25678404,,Singular Gestão de Serviços Ltda,6693
239,91227,EMEI,OVIDIO DECROLY,SÃO MIGUEL,MP II,emeiodecroly@prefeitura.sp.gov.br,RUA PIRAMIUNA,95,ITAIM PAULISTA,"RUA PIRAMIUNA, 95 - ITAIM PAULISTA",08121-440,29632541,,Singular Gestão de Serviços Ltda,6694
240,91235,EMEI,"HELENA DE PAULA MARIN, PROFA.",SÃO MIGUEL,MP I,emeihpmarin@prefeitura.sp.gov.br,RUA JOSÉ FERREIRA CRESPO,471,SÃO MIGUEL PAULISTA,"RUA JOSÉ FERREIRA CRESPO, 471 - SÃO MIGUEL PAULISTA",08021-480,20375037,,Singular Gestão de Serviços Ltda,6695
241,91243,EMEI,LEILA DINIZ,SÃO MIGUEL,MP II,emeildiniz@prefeitura.sp.gov.br,RUA PEROBA ROSA,13,JARDIM MIRAGAIA,"RUA PEROBA ROSA, 13 - JARDIM MIRAGAIA",08161-310,20353633,,Singular Gestão de Serviços Ltda,6696
242,91251,EMEI,GLAUBER ROCHA,ITAQUERA,IQ,emeigrocha@prefeitura.sp.gov.br,RUA PINHEIRO DO PARANÁ,493,PARQUE GUARANI,"RUA PINHEIRO DO PARANÁ, 493 - PARQUE GUARANI",08235-590,20515733,2051-5733,Apetece Sistemas de Alimentação Ltda,6657
243,91260,EMEI,"IRENE FAVRET LOPES, PROFA.",PENHA,PE II,emeiflopes@prefeitura.sp.gov.br,RUA JARINU,640,TATUAPÉ,"RUA JARINU, 640 - TATUAPÉ",03306-000,22960970,2296-3706,Apetece Sistemas de Alimentação Ltda,6807
